x,y,z,t,layer,id
-147.8142828316327,-165.46776892069337,47.131946872569046,1,1,1
-150.80827951174606,-152.97394054825443,50.88703538760074,2,1,1
-152.2947927285021,-151.38590300265474,58.26030258016934,3,1,1
-149.4893047512681,-151.30033559545862,65.10211630862659,4,1,1
-59.819758285030645,88.53118878529932,242.81334321643916,1,1,2
-58.3294851693099,88.59689918678775,241.90227302239245,2,1,2
-57.883932189124586,87.9555116574125,242.08915433291233,3,1,2
-57.84792762295916,87.90376157813459,241.06400806759027,4,1,2
-201.62661824140068,161.57342049060185,-48.21143500153893,1,1,3
-200.47587750144544,162.32213708967126,-49.54847385625561,2,1,3
-201.19162144638653,162.01480610805305,-49.42799039654836,3,1,3
-200.64262356659225,162.25485586892205,-49.4113997884411,4,1,3
-50.166291505604406,60.851127571983234,254.030694568946,1,1,4
-48.60124855875553,60.93931667457075,252.29759750164646,2,1,4
-48.77952042406302,59.67325302807411,252.91113008761738,3,1,4
-48.55931604306131,59.572673105041105,253.14946436214262,4,1,4
115.60137894167752,-232.2298463321513,23.83814850829415,1,1,5
117.32904204146777,-231.7333623971373,22.391345024001915,2,1,5
116.59124626519132,-231.452418243572,21.6476120281498,3,1,5
116.51347606178442,-232.02854155987123,21.209894064924686,4,1,5
-61.58270669347829,48.46320406447383,254.37431853519342,1,1,6
-60.32722465074188,48.64326576971041,252.9215132293273,2,1,6
-60.702133410807754,47.87655687108652,253.5629163624187,3,1,6
-59.65116355215836,48.15163215592809,253.55209629532916,4,1,6
-209.43685716402183,149.6369522748345,-56.61575701497652,1,1,7
-208.2591446194347,149.9090270438529,-57.982037750626304,2,1,7
-208.5246176108925,149.61255772257812,-58.678687139838814,3,1,7
-207.76742778713538,149.72306393288346,-60.00766019911282,4,1,7
-37.35807711666007,38.88739737333934,260.0604097303793,1,1,8
-36.20206669771173,38.16058182910743,259.26319503644834,2,1,8
-36.51017048934998,37.03632071262409,259.95015590979574,3,1,8
-35.31865738148,36.97175981653494,258.93490373464664,4,1,8
-63.04162068174082,-136.4056543986823,-217.51692393652732,1,1,9
-60.98781743263766,-135.14510123311638,-217.7928645706403,2,1,9
-62.02475355184093,-136.51667838759525,-217.76501841845015,3,1,9
-60.8372476847461,-135.4337169424974,-218.3839633661885,4,1,9
-64.97907943295215,-113.65365182115231,-229.71856396151674,1,1,10
-64.11909818573415,-112.74987682705613,-229.21829369376246,2,1,10
-65.09437897231925,-113.39606196724644,-229.33117794186367,3,1,10
-64.96756050134985,-113.29877368230143,-230.43424340048242,4,1,10
-75.25124528121802,-111.94730916394788,-227.02048640111843,1,1,11
-73.8338176184003,-110.69872076104083,-227.10175048904682,2,1,11
-74.53886559704836,-111.79398382519028,-227.52596936054712,3,1,11
-72.98544387121774,-111.222598418479,-227.890076043352,4,1,11
-196.5885134923845,148.72151673402848,-90.98054755218367,1,1,12
-196.27776409253977,149.19354764827537,-90.66017288567102,2,1,12
-196.4527391775213,148.1710276253871,-92.32016567555127,3,1,12
-195.73571409024487,148.58949940616037,-93.21645755734023,4,1,12
-85.36080608732942,65.55083168818938,243.91680542693626,1,1,13
-83.82017348958985,66.11091118640768,242.86741633046032,2,1,13
-83.35794004219655,66.01756618491319,243.01896847954413,3,1,13
-82.24032886247736,66.23302492604888,242.60797494751392,4,1,13
-75.6363919379314,64.73483998021965,246.85470739662705,1,1,14
-73.89196894496689,64.79196124830068,245.99362786855176,2,1,14
-73.60397808104796,64.60039720766684,246.3902280587515,3,1,14
-72.45090151729549,65.28077168591342,245.95178340794598,4,1,14
-74.337632424051293,119.87825754419926,220.80981730106922,1,1,15
-73.35453970699653,119.72026983483426,220.08103039865867,2,1,15
-73.47948865668562,119.7152067553649,219.7873914260879,3,1,15
-73.27819278776533,119.30466391380166,219.85067868605122,4,1,15
-95.34231902856152,106.15171215937555,220.84201116201444,1,1,16
-94.14847585081489,106.26419377711773,219.98061737285823,2,1,16
-93.63028889815212,106.2350796445276,219.84887885720389,3,1,16
-92.81656361141384,106.79470691151995,218.7815162294228,4,1,16
-190.07381850584463,130.35216780643856,-128.65031415895737,1,1,17
-188.92250736955893,131.4923001364878,-128.83269834660274,2,1,17
-189.78009821111743,130.6381282692259,-129.03444540020593,3,1,17
-189.75138494383333,130.35203050619432,-129.47449765591944,4,1,17
-80.44691014147196,110.43892070329943,224.95926109216438,1,1,18
-80.27498863731226,110.10440959904255,224.57763662209103,2,1,18
-80.25395053243867,110.00209910232971,224.29298206600592,3,1,18
-79.94217019901386,109.71082990323113,224.05561008144758,4,1,18
-67.8601791779257,110.78612009891847,227.1010211699945,1,1,19
-67.22504086440911,110.14737926619084,226.44545426099666,2,1,19
-67.24686828219106,108.19858735576324,227.24281353835983,3,1,19
-66.9966555355268,107.7765089811863,226.63704992540698,4,1,19
-115.31837325511044,127.88684217789597,199.74376574643577,1,1,20
-113.70877526263354,128.2566537477361,198.71584499315105,2,1,20
-114.01031137797963,127.4225705362449,198.85332734182035,3,1,20
-113.30956896190456,127.7326236493644,197.63187508864098,4,1,20
-192.56053435989264,131.0639735443235,-122.6254829702235,1,1,21
-191.52353661930937,132.29397745426573,-122.48975468296337,2,1,21
-192.5564441749788,131.42421645865818,-122.74615545401346,3,1,21
-191.8623947113965,131.52522758825293,-123.6164116743123,4,1,21
-129.93015454391204,140.53919468812694,180.50339723320081,1,1,22
-128.48243854142905,141.53373956089303,178.9994717304327,2,1,22
-128.88865928694813,141.0826163495422,179.30574319752495,3,1,22
-127.82301287065248,141.30870073200285,178.3696737099333,4,1,22
-208.06158695516942,156.1189938895472,-23.88796006257259,1,1,23
-206.0830244251691,157.46050148548363,-25.479091258692556,2,1,23
-206.8865830797599,156.29133815126372,-25.23875133158372,3,1,23
-206.093550938397,156.84529508998722,-25.913711562440653,4,1,23
-162.81953158604387,175.28799280900395,101.51731608003165,1,1,24
-161.08663338274567,176.05041075884733,99.95232336844703,2,1,24
-161.2806530600495,175.73768760122545,99.48296726268218,3,1,24
-160.91575398600088,174.98190150508756,100.19727455800727,4,1,24
-161.57055855345345,180.05574415078144,92.45491449398173,1,1,25
-160.79667745696648,180.63973581909,90.89221326687905,2,1,25
-161.56190386363883,179.49315904085984,90.97166041522502,3,1,25
-161.08356519884646,179.4621012159254,89.91247922956967,4,1,25
-129.47449026721694,122.28143179926471,193.95498075935222,1,1,26
-127.76550382109292,123.46703899686426,192.93168915396225,2,1,26
-127.63937777208164,122.98392427648574,192.9628362242747,3,1,26
-125.78553296836688,123.77357850435033,190.30622660886817,4,1,26
-142.69659436231575,135.8398656186052,172.83326433608462,1,1,27
-140.74822290960893,137.27332230922474,172.09152813808907,2,1,27
-140.73219428911483,136.66669050897838,172.94833620857952,3,1,27
-139.13130068519067,137.06710169242666,172.21113002728944,4,1,27
-158.8076780639627,154.59488220860487,138.18934268065766,1,1,28
-157.1943936486297,155.587833279976,137.28091072148462,2,1,28
-156.6839560545778,155.10472274134844,135.62890965918035,3,1,28
-156.3991430945867,155.123897772181,135.62380506551568,4,1,28
-150.10485065814686,157.79922918629316,144.81652078232062,1,1,29
-148.463862475297,158.55638372624787,143.69516513485203,2,1,29
-148.9358001708279,157.6786348744679,144.25371590234272,3,1,29
-147.8598049329823,158.17803561182808,143.29867085054437,4,1,29
-189.3134395224582,167.47358794910863,63.94903248944894,1,1,30
-187.91903156788703,168.2245940177153,63.94367567142517,2,1,30
-188.1838487086538,167.5020973804332,64.28718266270333,3,1,30
-187.20140147305838,167.9734059394216,63.13946015817804,4,1,30
-150.8468281480727,140.66181617524944,158.64468145875742,1,1,31
-148.83753216161162,141.680251570001,156.63475579338598,2,1,31
-149.6591473336049,140.9486775892504,157.11901275538503,3,1,31
-150.65756800516812,140.6576634861386,157.22959804040784,4,1,31
89.44530751616284,-199.03214062011835,148.5451861927834,1,1,32
91.4200235874224,-198.53420232707137,147.08290000424134,2,1,32
89.87440874506729,-199.45656818195698,147.04943412718444,3,1,32
89.65656465709861,-200.5012987656321,146.0853745108231,4,1,32
127.05003147054985,94.27524237996265,209.70870953765058,1,1,33
128.33574760647775,94.1973856372444,209.0713507191848,2,1,33
127.64504241527399,93.34653777465243,209.1341847130862,3,1,33
128.05186008976128,92.48924633557507,208.79870703219376,4,1,33
65.61474432896814,-124.55769194320658,226.54274049707644,1,1,34
67.26173947942954,-125.11894798368888,225.12231553033274,2,1,34
67.43382490197402,-126.12488378888308,224.58431336779267,3,1,34
67.62692552710803,-127.13573012878788,223.69655775392846,4,1,34
68.56920158212608,-136.93427473175853,217.9973638630491,1,1,35
69.93074376292338,-136.70030147976095,217.12048371919659,2,1,35
69.70655971828964,-137.79147608341887,216.78015263855445,3,1,35
69.90635091526521,-138.60452906133193,216.0712797298364,4,1,35
80.4880019841317,-161.1297640409012,194.2347289487911,1,1,36
80.1117129476547,-162.0367966258563,194.06206705257705,2,1,36
80.9321649270301,-162.35449641636902,193.3918416088846,3,1,36
81.05491405520326,-163.12468998456805,192.49688111155945,4,1,36
10.229467466558965,-184.446325811078,185.18473675760274,1,1,37
13.49110575673404,-183.17158222058785,183.77914035937434,2,1,37
9.086456360281716,-186.24933307613222,178.31976940413804,3,1,37
6.307897728280416,-186.04687982876632,180.20771250789628,4,1,37
77.936560735970545,-180.05267986890013,176.89823319204575,1,1,38
79.42160297205174,-180.4810108655465,175.63303768850085,2,1,38
79.15688467279361,-181.21330795280392,174.80880072607567,3,1,38
79.80951719830276,-182.03283698634544,173.7918664730194,4,1,38
88.86074210417215,-177.93235158101322,175.3337897171249,1,1,39
90.30302814438639,-177.89131590541993,174.44408300796096,2,1,39
90.64558882463386,-178.4402118877301,173.61221218971005,3,1,39
91.28910456960529,-179.2574646297888,172.5110538141608,4,1,39
-52.149514122134526,-211.45359033958349,163.34158937347414,1,1,40
-49.76580814007843,-211.8132499956307,162.510905916541,2,1,40
-49.3700336816542,-213.38427573770747,162.39215854343237,3,1,40
-48.833087171556045,-214.50156479893224,161.05792677738168,4,1,40
-24.076529422191584,-245.80985979052662,96.56966041039144,1,1,41
-22.11463443866579,-246.1986735169975,94.86276948847265,2,1,41
